Contrato,NIT,Nombre_Operador,Fecha_inicio_contrato,Fecha_fin_contrato,Modalidad_Juego
C1466,900668781,GRUPO EMPRESARIAL AGS S.A.S.,13/12/2017,22/07/2023,JUEGOS LOCALIZADOS
C1475,901081005,BINGOS PREMIER COLOMBIA S.A.S.,28/12/2017,11/07/2023,JUEGOS LOCALIZADOS
C1481,900305657,INVERSIONES JJ RISEP LTDA.,19/01/2018,2/08/2023,JUEGOS LOCALIZADOS
C1492,901114017,GLOBAL P&M SAS,1/02/2018,17/07/2023,JUEGOS LOCALIZADOS
C1498,900191237,TC GROUP S.A.S.,18/01/2018,23/07/2023,JUEGOS LOCALIZADOS
C1500,900565733,HSQ INVERSIONES S.A.S.,19/01/2018,3/07/2023,JUEGOS LOCALIZADOS
C1501,900555053,JGV GRUPO DE INVERSIONES S.A.S.,16/02/2018,24/08/2023,JUEGOS LOCALIZADOS
C1503,901630205,INVERSIONES G Y G GIRARDOTA SAS,15/02/2018,31/07/2023,JUEGOS LOCALIZADOS
C1504,901121296,JUEGOS MAX S.A.S.,22/02/2018,7/08/2023,JUEGOS LOCALIZADOS
C1505,901235028,INVERSIONES FACILITY SAS,13/03/2018,26/08/2023,JUEGOS LOCALIZADOS
C1506,900476276,BELIEVING IN FORTUNE S.A.S.,11/05/2018,16/11/2023,JUEGOS LOCALIZADOS
C1507,900620140,SILVER GROUP INTERNATIONAL S.A.S.,26/02/2018,16/08/2023,JUEGOS LOCALIZADOS
C1508,900520636,ALOHA ASOCIADOS S.A.S.,17/04/2018,6/11/2023,JUEGOS LOCALIZADOS
C1510,900566272,INTERPLAY ENTERTAINMENT S.A.S.,21/03/2018,3/09/2023,JUEGOS LOCALIZADOS
C1512,815004027,TOKEN GOLD S.A.S.,27/03/2018,8/09/2023,JUEGOS LOCALIZADOS
C1513,900147047,INV TORRES ALM,12/03/2018,24/08/2023,JUEGOS LOCALIZADOS
C1523,816008233,INVERMAR S.A.S.,26/03/2018,7/09/2023,JUEGOS LOCALIZADOS
C1525,811046779,EMPRESARIOS UNIDOS DE COLOMBIA S. A.,2/05/2018,15/10/2023,JUEGOS LOCALIZADOS
C1528,830115955,GOLDEN GAME S.A.S.,8/05/2018,21/10/2023,JUEGOS LOCALIZADOS
C1530,900139404,SUPER SIETES S.A.,23/04/2018,18/10/2023,JUEGOS LOCALIZADOS
C1531,830129113,WILD PLAY ELECTRONICS S.A.S.,30/04/2018,5/11/2023,JUEGOS LOCALIZADOS
C1533,830071626,SUPER NUEVO MILENIO S.A,25/04/2018,3/10/2023,JUEGOS LOCALIZADOS
